a1_0,a1_1,a1_2,a1_3,a2_0,a2_1,a3_0,a3_1,a3_2,a3_3,a3_4,a3_5,b1_0,b1_1,b1_2,b1_3,b2_0,b2_1,b2_2,b2_3,b2_4,b3_0,b3_1,b3_2,b3_3,b4_0,b4_1,b4_2,b4_3,c1_0,c1_1,c1_2,c1_3,c1_4,c1_5,c1_6,c1_7,c1_8,c1_9,c1_10,c1_11,c2_0,c2_1,c2_2,c2_3,c2_4,c2_5,c3_0,c3_1,c3_2,c4_0,c4_1,risk_index,risk_label
2,3,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,2,2,3,3,3,2,3,2,3,2,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,7.683345762037035,HIGH
3,3,2,2,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,2,3,2,2,3,3,3,2,3,3,3,2,2,2,2,3,3,3,3,2,3,2,3,3,2,3,3,3,3,7.143863553086419,HIGH
2,3,2,2,3,3,3,3,3,3,3,2,2,3,2,3,3,3,2,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,6.807541554606482,HIGH
2,2,2,2,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,2,3,2,3,3,6.958821059853396,HIGH
3,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,3,3,3,7.251912187808642,HIGH
3,2,3,2,3,3,2,2,3,3,2,2,2,3,3,3,3,2,2,3,2,2,3,2,3,3,3,3,3,2,3,2,2,2,3,3,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,2,7.156100236049382,HIGH
3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,2,2,2,2,2,3,2,3,2,3,3,2,3,3,3,3,2,2,2,3,2,3,3,3,3,2,2,3,3,2,2,2,3,2,3,3,3,6.9277712000000005,HIGH
3,2,3,3,3,2,3,3,2,3,3,3,2,2,2,2,3,2,2,2,3,3,3,2,3,2,3,3,3,2,3,2,3,2,3,2,2,3,3,3,2,2,3,3,2,3,2,2,3,2,3,3,6.8264772357561725,HIGH
3,2,2,2,3,3,3,2,3,2,3,2,2,2,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,2,3,2,2,3,3,3,2,3,3,6.977447300740742,HIGH
2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,3,3,2,3,2,3,3,3,2,6.974449428194446,HIGH
3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,3,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,2,2,3,3,3,2,2,2,3,3,2,3,2,7.215760432222224,HIGH
3,3,2,3,3,3,2,3,2,3,3,3,3,2,2,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,2,3,3,3,2,3,2,2,3,2,3,3,2,7.107185156851853,HIGH
2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,2,3,2,3,2,2,3,2,2,2,2,3,3,2,2,3,2,3,3,3,3,2,3,3,3,2,3,6.927747040000001,HIGH
2,3,3,2,3,3,3,3,2,3,3,2,2,3,2,3,2,2,3,2,2,3,3,3,3,3,3,2,2,2,2,3,2,3,3,3,2,2,3,2,2,3,3,3,2,3,2,3,3,3,3,3,7.088847814814815,HIGH
3,3,3,3,3,3,3,2,2,2,3,2,2,3,2,2,3,3,3,3,3,3,2,3,2,3,2,3,2,2,3,2,3,2,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,2,3,3,6.850662130601853,HIGH
3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,3,3,2,3,3,3,2,2,3,2,2,2,2,2,3,2,3,3,2,3,3,2,3,2,2,3,3,2,3,3,3,3,3,3,7.70355,HIGH
2,2,3,3,3,3,2,2,3,3,3,2,3,2,2,3,3,2,2,3,3,3,2,2,3,2,3,3,2,2,2,2,3,3,3,2,3,2,3,3,3,3,2,3,2,3,2,2,3,3,3,3,6.972106277777779,HIGH
3,2,3,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3,2,2,3,3,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,3,3,2,7.307622064166667,HIGH
3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,2,3,3,2,2,3,2,3,2,2,3,3,2,3,3,2,2,3,2,3,3,6.833878027407408,HIGH
2,2,2,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,2,3,3,2,3,2,2,2,2,2,2,3,2,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,7.166393623425926,HIGH
3,2,3,3,3,3,2,2,3,2,3,3,3,3,3,3,2,2,3,3,2,3,3,3,2,3,3,2,3,2,3,2,3,2,2,2,2,2,2,3,2,3,2,3,2,3,2,2,3,2,3,3,6.95554858271605,HIGH
2,3,3,2,3,2,2,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,3,3,2,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,7.032947527083332,HIGH
3,3,2,2,3,3,2,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,2,3,2,2,2,2,3,2,3,2,3,3,3,2,3,3,3,2,2,3,3,7.022683487500001,HIGH
3,3,2,3,3,3,2,3,3,2,2,3,2,3,2,3,2,3,2,2,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,2,3,2,3,3,2,3,3,2,3,3,3,2,6.895110607407409,HIGH
3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,2,2,2,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,2,2,2,2,3,3,3,2,3,3,3,3,2,7.029316772376544,HIGH
2,3,3,2,3,2,3,3,2,3,2,3,2,3,2,2,3,3,2,2,3,3,3,2,3,3,2,3,2,2,3,3,2,3,3,2,3,3,2,3,2,3,3,2,2,2,3,3,3,3,3,3,6.801412363958334,HIGH
3,3,2,2,3,3,3,2,2,3,3,3,2,2,3,2,3,3,2,2,3,2,3,3,2,2,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,3,2,3,3,3,2,2,3,3,3,3,6.868760271473766,HIGH
2,3,3,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,2,3,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,3,3,2,3,7.11158811,HIGH
3,2,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,2,3,3,2,2,3,3,2,3,3,3,2,3,3,3,2,2,6.79417788375,HIGH
2,3,2,3,3,3,2,2,2,3,2,3,3,2,2,3,3,2,2,3,3,3,2,3,2,3,3,2,3,3,3,2,2,3,2,3,2,2,3,2,3,3,3,2,2,3,2,3,3,3,3,3,6.90697890412037,HIGH
3,2,2,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,2,3,2,2,3,3,3,3,3,2,3,2,2,3,2,3,2,2,2,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3,7.049987134444445,HIGH
3,3,3,3,3,2,3,2,2,2,2,3,2,2,2,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,3,3,2,2,3,3,3,3,2,3,3,3,3,2,2,3,3,3,6.9573518723611105,HIGH
2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3,2,3,2,3,2,2,2,2,3,2,3,2,2,2,3,2,3,3,3,3,3,7.159433666388891,HIGH
3,2,2,2,3,3,3,3,3,3,2,2,2,3,3,2,2,3,2,3,3,3,3,2,2,3,3,3,3,2,2,3,3,2,2,3,3,3,2,2,3,2,2,3,2,3,2,3,3,3,3,3,6.9982947455555555,HIGH
3,2,3,2,3,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,3,3,3,2,3,2,3,2,3,3,2,2,3,2,3,3,3,3,2,3,2,2,3,2,3,3,3,3,3,2,7.2254676,HIGH
3,3,2,3,3,2,2,3,2,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,3,3,3,2,2,3,2,2,3,3,3,3,3,3,2,2,3,3,7.066315105709876,HIGH
3,3,3,3,3,2,2,2,2,3,3,3,2,3,2,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,2,2,3,2,3,6.821644630370372,HIGH
3,3,2,2,3,3,3,2,2,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,7.491113357824074,HIGH
3,3,2,3,2,3,3,2,3,3,2,2,2,3,3,3,3,2,2,2,3,3,3,3,2,3,3,3,2,3,3,2,2,2,2,2,3,3,3,3,2,2,3,3,2,2,3,2,3,3,3,3,6.793673426620371,HIGH
2,3,2,2,3,3,2,3,3,3,3,2,3,3,2,2,3,3,3,2,3,3,3,3,2,3,3,2,3,2,2,3,2,3,2,2,3,2,3,2,3,3,3,3,3,2,3,3,2,3,3,3,7.109615858333333,HIGH
3,3,3,2,3,3,3,3,2,3,2,3,3,2,2,2,2,3,2,3,2,3,3,2,2,3,3,3,3,3,3,2,2,2,2,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,6.960435526203703,HIGH
3,3,3,2,3,3,3,2,2,2,2,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,2,3,3,2,3,3,2,3,3,2,3,2,3,3,3,7.391776929351853,HIGH
3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,2,2,2,3,3,2,2,3,6.8196266900694456,HIGH
2,2,3,3,3,3,2,3,3,3,2,2,3,3,2,3,2,2,3,3,2,3,3,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,3,3,2,3,2,2,3,3,2,3,2,3,3,6.8997053572222224,HIGH
2,3,3,3,3,3,2,3,3,2,3,2,2,3,3,2,3,3,3,2,2,2,3,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,2,3,3,6.947677764459876,HIGH
3,3,2,2,3,2,3,2,3,3,2,3,2,3,3,2,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3,2,3,3,3,2,3,3,2,3,2,3,3,3,6.81603855625,HIGH
3,2,3,3,2,3,3,2,3,3,2,3,2,2,3,3,3,3,3,2,3,3,2,3,3,3,2,2,3,2,2,2,3,2,2,2,3,3,2,3,2,2,3,3,3,2,3,2,3,3,3,3,6.95716853308642,HIGH
2,2,2,3,3,3,2,2,3,3,3,2,2,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,3,3,2,2,2,2,3,3,3,3,3,7.24920744603395,HIGH
3,3,3,2,3,3,3,3,3,2,2,2,3,3,2,3,3,2,2,3,2,2,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,2,2,3,2,3,3,3,2,3,3,2,7.030018498611112,HIGH
2,3,3,2,3,3,2,3,3,3,3,2,2,2,3,2,3,2,2,3,2,3,2,3,3,2,3,3,2,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,2,2,3,3,2,2,3,3,6.922695015185183,HIGH
3,2,3,3,3,3,2,3,3,3,2,2,2,3,3,3,3,2,2,3,2,2,3,3,3,2,2,2,3,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,7.212245781481482,HIGH
2,3,3,3,3,3,2,2,3,2,2,3,2,3,2,3,3,2,3,3,2,3,2,3,3,3,3,3,2,3,3,2,2,3,3,2,3,2,2,2,3,3,3,2,3,3,2,2,3,2,3,3,6.8475613510802456,HIGH
3,2,3,2,2,3,3,3,3,2,3,3,2,2,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,2,2,3,2,2,2,3,3,2,2,3,3,3,2,3,3,6.970553274305557,HIGH
3,3,2,3,3,3,2,2,2,2,2,3,3,2,3,3,3,3,2,2,2,3,2,3,3,3,3,2,2,2,2,2,2,3,3,3,2,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,7.031789209166668,HIGH
3,3,2,3,3,2,3,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,7.086263856003088,HIGH
2,2,3,2,3,3,2,3,3,3,3,2,2,2,3,3,2,2,2,3,3,3,3,2,3,2,2,3,3,3,2,3,2,3,3,2,2,3,3,3,3,2,3,3,2,2,2,3,3,3,3,2,6.89322331648148,HIGH
3,2,3,2,3,2,2,3,3,3,2,3,2,2,3,3,3,2,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,7.09150506625,HIGH
3,3,3,2,2,3,3,3,3,3,2,3,2,2,3,3,3,2,2,3,3,3,3,3,2,3,3,2,2,3,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,7.47516702,HIGH
2,2,3,3,3,3,3,2,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,3,3,2,3,3,2,2,2,2,2,3,3,2,3,3,3,2,3,2,2,2,3,3,2,6.8361216,HIGH
2,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,2,2,2,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,2,2,6.917156820987655,HIGH
3,2,3,3,3,3,2,3,3,2,3,2,3,2,2,2,2,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,3,3,3,2,3,3,3,2,3,3,6.970573700000001,HIGH
3,3,3,2,3,2,2,3,2,2,3,3,2,3,3,3,3,3,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,2,3,2,3,3,3,3,2,2,3,3,3,3,2,6.921072594074075,HIGH
2,2,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,2,2,2,3,3,3,2,2,2,2,3,2,3,3,3,2,3,3,2,3,2,3,2,6.899363502777777,HIGH
3,3,3,3,3,2,2,3,3,2,3,3,3,2,2,3,3,3,3,3,2,3,3,2,3,3,2,2,2,3,2,2,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,7.467360289629631,HIGH
3,3,3,2,2,3,3,2,3,3,2,2,3,2,2,3,3,2,2,2,3,3,2,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3,2,2,2,2,3,3,3,3,3,2,3,3,3,3,6.812443592916667,HIGH
3,2,3,3,3,2,3,3,2,3,2,3,3,2,3,2,3,3,3,3,3,2,3,3,3,2,2,3,3,2,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,2,3,2,7.031787166666666,HIGH
2,3,3,2,3,2,2,3,3,3,2,2,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,7.133173908410493,HIGH
3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,2,3,3,3,2,2,3,2,3,3,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,3,2,3,2,3,2,2,3,3,3,3,7.119773984166668,HIGH
2,3,3,3,3,3,2,3,3,3,2,3,2,3,2,2,2,3,2,3,2,3,3,3,3,2,2,2,3,3,2,3,2,3,2,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,7.002493749776235,HIGH
3,3,3,2,3,3,3,3,3,2,3,2,2,2,2,3,3,2,2,2,3,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,2,2,2,3,2,3,3,3,3,3,2,3,3,2,2,3,7.0165144345679025,HIGH
3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,2,3,3,3,2,2,3,3,2,2,3,3,3,3,2,2,2,3,2,2,2,3,2,3,2,3,2,3,3,2,3,3,3,2,7.462296169135803,HIGH
3,2,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,2,2,3,3,3,2,2,3,3,2,3,3,2,2,3,2,3,3,3,2,3,2,2,3,2,7.159244301111113,HIGH
3,3,3,3,3,3,2,3,3,2,2,3,2,3,3,2,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,3,3,3,3,2,3,2,2,3,2,2,3,2,3,2,3,3,3,3,3,2,6.9657681333333334,HIGH
2,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,2,3,2,3,3,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,3,3,2,3,2,3,3,3,6.905758940972221,HIGH
2,3,3,2,3,3,2,2,3,3,2,3,3,3,2,2,3,3,2,2,3,2,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,2,3,3,3,3,2,6.839081983958333,HIGH
3,2,3,3,3,3,2,2,3,2,2,3,3,2,3,3,3,3,3,2,2,3,2,3,2,3,3,2,3,3,2,2,3,3,3,2,2,2,2,3,2,2,2,3,2,3,3,3,3,3,3,2,7.127410034166668,HIGH
3,3,2,3,2,3,2,3,3,3,3,2,2,3,2,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,2,3,3,3,3,3,2,2,3,2,3,3,3,3,3,2,3,3,3,3,2,6.930180287654323,HIGH
2,2,2,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,2,3,3,2,3,2,2,3,2,2,2,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,7.085475247685186,HIGH
2,3,3,3,3,3,3,3,2,3,2,3,2,2,2,3,3,3,2,2,2,3,3,3,2,2,3,3,3,2,2,2,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,7.397179471921297,HIGH
2,2,2,3,3,2,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,2,2,2,3,3,2,2,3,2,2,2,2,2,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,6.882509901342594,HIGH
3,3,3,2,3,2,3,3,3,3,2,2,3,3,3,2,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,2,3,3,3,2,2,3,2,2,3,3,3,2,2,2,3,2,3,3,7.242795047222224,HIGH
2,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,2,3,3,3,2,3,2,3,3,2,2,3,3,2,3,2,2,3,3,3,2,3,3,3,3,3,2,3,3,2,2,2,3,2,3,6.834365604938276,HIGH
3,2,2,2,3,3,2,2,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,2,3,2,6.851250991882716,HIGH
3,2,3,3,3,3,2,3,3,3,3,2,2,3,2,2,3,2,3,2,2,2,3,2,3,2,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,2,2,3,2,3,3,3,2,2,3,3,6.8140689993055545,HIGH
3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,2,2,3,2,3,2,2,3,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,3,3,2,3,7.460352833456789,HIGH
2,3,2,2,3,3,3,2,3,2,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,6.918760575578703,HIGH
2,3,3,2,3,2,3,2,3,3,2,2,2,3,3,2,3,2,2,3,3,3,3,2,2,3,3,2,3,2,2,3,2,2,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,7.107335956018521,HIGH
3,3,2,3,3,2,3,3,3,2,2,2,2,3,3,2,3,2,3,3,3,3,3,3,3,2,3,2,2,2,2,3,2,3,3,2,3,2,3,3,2,3,3,3,3,2,3,3,2,2,3,3,6.832089602962964,HIGH
3,3,3,3,3,2,3,2,2,2,3,3,2,2,2,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,7.087902829120372,HIGH
3,3,3,3,3,2,3,2,3,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,3,2,3,3,2,3,2,2,3,6.900003388148149,HIGH
3,3,3,3,3,2,3,2,2,3,2,2,2,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,2,2,2,3,2,3,2,3,3,2,2,3,3,2,3,3,2,2,3,3,3,3,3,3,7.42464831912037,HIGH
3,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,2,2,2,3,2,3,2,3,6.857333648750002,HIGH
2,3,3,2,3,2,3,2,2,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,3,3,3,2,2,3,3,3,3,7.053642172222223,HIGH
3,2,3,3,3,2,2,3,2,3,3,2,3,2,3,2,3,3,2,2,3,3,3,3,3,2,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,3,3,3,2,3,3,3,3,3,2,3,6.939519377777779,HIGH
2,2,2,3,3,3,3,3,3,2,3,2,2,2,2,3,3,2,2,2,2,3,3,2,3,3,3,2,3,3,3,2,2,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,7.251525244444444,HIGH
2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,3,2,3,3,3,3,2,2,3,2,3,2,3,3,3,7.090315263888889,HIGH
3,3,3,2,3,3,2,2,2,3,3,2,2,3,3,3,3,2,2,3,2,3,2,2,2,2,3,2,3,3,3,3,3,3,2,3,3,2,2,2,3,3,2,3,3,2,2,3,3,2,3,3,7.021799028935185,HIGH
2,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,3,2,2,3,6.923765859151237,HIGH
3,3,2,3,3,3,2,3,2,3,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,3,3,3,3,6.922989445200619,HIGH
3,2,3,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,2,3,2,2,3,2,3,3,2,3,3,3,3,2,3,2,3,3,3,2,3,2,2,2,2,2,3,2,3,3,3,2,3,3,7.204615367499999,HIGH
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,2,3,3,2,2,3,3,2,2,2,3,3,2,2,3,2,3,3,2,3,3,2,3,3,2,2,3,3,2,2,3,6.883696939999999,HIGH
3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,3,2,2,2,2,3,3,2,2,3,3,2,3,3,2,2,3,2,3,3,3,2,2,3,3,3,6.795838325879631,HIGH
3,3,3,2,3,2,2,3,3,3,3,2,3,3,3,2,3,3,3,3,2,2,3,3,2,2,3,3,3,2,2,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,3,2,3,3,2,3,6.828655839120371,HIGH
3,3,3,3,3,3,2,2,2,3,2,2,3,2,3,2,2,3,3,2,3,3,3,3,2,3,2,2,3,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,6.806659762438274,HIGH
3,2,3,3,3,3,2,3,3,3,2,3,2,2,2,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,3,3,2,2,2,3,2,3,3,2,2,3,2,2,3,6.888209365000002,HIGH
3,2,3,3,3,3,2,3,3,3,3,3,2,3,3,2,2,3,2,3,3,2,2,2,3,2,3,3,3,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,3,3,3,2,3,3,7.025343915061728,HIGH
3,3,2,3,3,3,2,3,2,2,2,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3,2,3,2,3,2,2,6.852716438749999,HIGH
3,2,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,2,2,3,2,3,3,3,3,3,2,3,2,2,3,2,2,2,2,3,3,2,3,2,3,2,2,2,3,2,3,3,3,3,2,2,6.884009171990741,HIGH
2,3,3,2,3,3,2,3,2,2,3,3,2,2,3,3,3,3,3,2,3,3,3,2,3,3,2,3,2,2,2,3,2,3,3,2,3,2,2,2,2,3,2,2,3,3,2,2,3,3,3,3,6.813287642854938,HIGH
3,2,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,2,2,3,2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,6.840594683688272,HIGH
3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,2,3,2,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,3,3,2,3,2,3,2,3,3,2,3,2,2,3,3,2,3,2,3,7.055454583125,HIGH
3,2,2,3,3,3,2,3,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,2,3,2,2,3,2,3,2,3,3,3,2,2,3,3,3,3,3,7.079606233333334,HIGH
2,3,2,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,2,2,2,2,2,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,3,3,3,3,3,6.915040387716049,HIGH
3,2,3,3,3,3,2,2,3,2,2,2,3,2,3,3,2,2,3,3,2,3,3,3,3,2,2,3,3,3,2,2,3,3,3,2,3,2,2,2,3,3,2,3,2,3,3,2,3,3,3,3,6.933966878703704,HIGH
3,3,2,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,2,2,2,3,3,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,6.868302484583334,HIGH
3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,2,3,3,3,3,3,3,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,3,2,3,2,2,3,3,2,2,3,3,3,2,6.8129697835493825,HIGH
2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,3,2,3,3,3,3,2,2,2,3,3,3,2,3,2,3,3,2,2,3,3,2,3,3,7.6127483115432115,HIGH
